id_evaluacion,id_registro,id_usuario,nombre,edad,genero,id_contexto,origen,actividad,ubicacion,descripcion,fecha_hora,valencia,activacion,comentario,intensidad,intensidad_normalizada,cuadrante,etiqueta_emocional
1,4180,1,Ana Pérez,35,F,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-05-10 15:39:00,0.44,0.38,Comprendió el problema planteado,0.5813776741499453,0.41109609582188933,Positiva-Alta,Entusiasta
2,2153,2,Bruno Gómez,39,M,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-04-29 18:00:00,0.14,-0.05,Revisó materiales del curso,0.14866068747318506,0.10511898020814318,Centro,Neutro
3,3890,3,Carla Rodríguez,40,F,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-05-27 16:17:00,0.26,0.36,Analizó ejemplos antes de resolver,0.4440720662234903,0.3140063693621516,Positiva-Alta,Alerta
4,1694,4,Diego Fernández,26,M,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-04-10 15:32:00,0.08,0.15,Revisó materiales del curso,0.16999999999999998,0.12020815280171306,Centro,Neutro
5,1129,5,Elena Silva,32,F,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-05-03 17:43:00,-0.49,0.15,Tuvo dudas persistentes sobre la consigna,0.5124451190127582,0.3623534186398687,Negativa-Alta,Triste
6,512,6,Federico Martínez,34,M,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-04-09 11:23:00,0.21,0.05,Revisó materiales del curso,0.215870331449229,0.15264337522473745,Centro,Neutro
7,649,7,Gabriela López,35,F,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-04-15 17:04:00,0.16,0.33,Completó una etapa intermedia,0.366742416417845,0.2593260495977988,Positiva-Alta,Alerta
8,2072,8,Hernán Cardozo,42,M,8,Plataforma virtual,Entrega final de módulo,Aula virtual,Entrega de producto final correspondiente a una unidad del curso.,2026-05-13 13:49:00,0.63,0.66,Recibió una devolución positiva,0.9124143795447329,0.645174395028197,Positiva-Alta,Entusiasta
9,999,9,Inés Acosta,36,F,9,Actividad presencial,Trabajo en pares,Aula taller,Resolución de una consigna breve junto a otro estudiante.,2026-05-03 09:40:00,-0.35,-0.17,Tuvo dificultades para avanzar,0.38910152916687435,0.27513632984395203,Negativa-Baja,Triste
10,1073,10,Joaquín Suárez,25,M,10,Actividad presencial,Trabajo en equipo,Aula taller,Construcción colaborativa de una solución de programación.,2026-05-09 17:48:00,0.3,0.28,Recibió una devolución positiva,0.4103656905736638,0.29017236257093815,Positiva-Alta,Calmo
11,5232,11,Lucía Méndez,22,F,11,Actividad presencial,Revisión cruzada entre pares,Aula taller,Lectura y comentario del código producido por otros estudiantes.,2026-04-30 13:29:00,0.24,0.43,Completó una etapa intermedia,0.49244289008980524,0.34820970692960296,Positiva-Alta,Alerta
12,274,12,Martín Castro,39,M,12,Actividad presencial,Debate de soluciones,Aula taller,Comparación grupal de distintas estrategias para resolver un problema.,2026-04-04 09:05:00,0.43,0.16,Recibió una devolución positiva,0.45880278987817846,0.32442256395016666,Positiva-Alta,Calmo
13,1825,13,Natalia Ramos,36,F,1,Aplicación educativa,Práctica guiada de variables,Laboratorio de informática,"Actividad introductoria para declarar variables, tipos de datos y operaciones simples.",2026-04-24 16:32:00,-0.16,-0.21,Registró una respuesta breve,0.2640075756488817,0.1866815470259447,Centro,Neutro
14,4518,14,Octavio Varela,37,M,2,Aplicación educativa,Ejercicio de condicionales,Laboratorio de informática,"Resolución de problemas con estructuras if, elif y else.",2026-04-17 09:17:00,0.1,0.39,Continuó trabajando con apoyo parcial,0.4026164427839479,0.2846928169097352,Positiva-Alta,Alerta
15,98,15,Paula Costa,22,F,3,Aplicación educativa,Ejercicio de bucles,Laboratorio de informática,Práctica con ciclos for y while para recorrer datos.,2026-05-03 16:37:00,0.3,0.87,Encontró una solución funcional,0.9202716990106781,0.6507303589045158,Positiva-Alta,Entusiasta
16,3388,16,Rafael Sosa,18,M,4,Aplicación educativa,Práctica de funciones,Laboratorio de informática,"Diseño de funciones con parámetros, retorno y responsabilidad única.",2026-05-13 16:18:00,0.28,0.12,Completó una etapa intermedia,0.30463092423455634,0.21540659228538014,Centro,Neutro
17,4170,17,Sofía Díaz,19,F,5,Plataforma virtual,Entrega de tarea individual,Aula virtual,Carga de una solución individual en la plataforma institucional.,2026-05-30 14:00:00,0.03,0.42,Realizó la actividad sin comentarios especiales,0.42107006542854597,0.2977414986191881,Positiva-Alta,Alerta
18,2068,18,Tomás Moreira,19,M,6,Plataforma virtual,Reentrega corregida,Aula virtual,Nueva entrega luego de revisar observaciones o errores previos.,2026-04-23 13:34:00,0.54,-0.24,Avanzó sin mayores dificultades,0.5909314681077663,0.41785164831552357,Positiva-Baja,Calmo
19,2062,19,Valentina Benítez,32,F,7,Plataforma virtual,Carga de proyecto parcial,Aula virtual,Subida de avances del proyecto integrador para revisión.,2026-04-17 14:03:00,0.41,0.01,Se mostró motivado durante la tarea,0.4101219330881975,0.2899999999999999,Positiva-Alta,Calmo
